context_name,context_value,in_enum,observed,observed_count,seat0_count,seat1_count,fallback_count,invalid_count,p50_ms,p95_ms,p99_ms,max_ms
MAIN,0,True,True,1646,841,805,1162,0,0.054792,0.129481,0.176934,1.650466
SETUP_ACTIVE_POKEMON,1,True,True,120,60,60,80,0,0.05705,0.163084,0.235641,0.307381
SETUP_BENCH_POKEMON,2,True,True,32,18,14,19,0,0.041807,0.05767,0.061896,0.063688
SWITCH,3,True,True,6,3,3,0,0,0.003186,0.003358,0.003365,0.003366
TO_ACTIVE,4,True,True,59,26,33,36,0,0.09701,0.158698,0.201059,0.205632
TO_BENCH,5,True,False,0,0,0,0,0,,,,
TO_FIELD,6,True,False,0,0,0,0,0,,,,
TO_HAND,7,True,True,268,147,121,206,0,0.07554,0.114183,0.166298,0.190524
DISCARD,8,True,False,0,0,0,0,0,,,,
TO_DECK,9,True,False,0,0,0,0,0,,,,
TO_DECK_BOTTOM,10,True,False,0,0,0,0,0,,,,
TO_PRIZE,11,True,False,0,0,0,0,0,,,,
NOT_MOVE,12,True,False,0,0,0,0,0,,,,
DAMAGE_COUNTER,13,True,False,0,0,0,0,0,,,,
DAMAGE_COUNTER_ANY,14,True,False,0,0,0,0,0,,,,
DAMAGE,15,True,False,0,0,0,0,0,,,,
REMOVE_DAMAGE_COUNTER,16,True,False,0,0,0,0,0,,,,
HEAL,17,True,False,0,0,0,0,0,,,,
EVOLVES_FROM,18,True,False,0,0,0,0,0,,,,
EVOLVES_TO,19,True,False,0,0,0,0,0,,,,
DEVOLVE,20,True,False,0,0,0,0,0,,,,
ATTACH_FROM,21,True,True,88,41,47,64,0,0.047693,0.124826,9.772067,74.025446
ATTACH_TO,22,True,True,88,41,47,64,0,0.066099,0.110187,0.159115,0.162793
DETACH_FROM,23,True,False,0,0,0,0,0,,,,
LOOK,24,True,False,0,0,0,0,0,,,,
EFFECT_TARGET,25,True,False,0,0,0,0,0,,,,
DISCARD_ENERGY_CARD,26,True,False,0,0,0,0,0,,,,
DISCARD_TOOL_CARD,27,True,False,0,0,0,0,0,,,,
SWITCH_ENERGY_CARD,28,True,False,0,0,0,0,0,,,,
DISCARD_CARD_OR_ATTACHED_CARD,29,True,False,0,0,0,0,0,,,,
DISCARD_ENERGY,30,True,True,29,13,16,0,0,0.003136,0.003559,0.003697,0.003747
TO_HAND_ENERGY,31,True,False,0,0,0,0,0,,,,
TO_DECK_ENERGY,32,True,False,0,0,0,0,0,,,,
SWITCH_ENERGY,33,True,False,0,0,0,0,0,,,,
SKILL_ORDER,34,True,False,0,0,0,0,0,,,,
ATTACK,35,True,False,0,0,0,0,0,,,,
DISABLE_ATTACK,36,True,False,0,0,0,0,0,,,,
EVOLVE,37,True,False,0,0,0,0,0,,,,
DRAW_COUNT,38,True,True,37,17,20,23,0,0.082352,0.162596,0.302568,0.335803
DAMAGE_COUNTER_COUNT,39,True,False,0,0,0,0,0,,,,
REMOVE_DAMAGE_COUNTER_COUNT,40,True,False,0,0,0,0,0,,,,
IS_FIRST,41,True,True,60,60,0,40,0,0.02414,0.030023,0.04089,0.046156
MULLIGAN,42,True,False,0,0,0,0,0,,,,
ACTIVATE,43,True,False,0,0,0,0,0,,,,
FIRST_EFFECT,44,True,False,0,0,0,0,0,,,,
MORE_DEVOLVE,45,True,False,0,0,0,0,0,,,,
COIN_HEAD,46,True,False,0,0,0,0,0,,,,
AFFECT_SPECIAL_CONDITION,47,True,False,0,0,0,0,0,,,,
RECOVER_SPECIAL_CONDITION,48,True,False,0,0,0,0,0,,,,
