context,S1_agreement,S1_n,S2_agreement,S2_n
ACTIVATE,1.0,14,1.0,14
ATTACH_FROM,0.7435897435897436,39,0.7435897435897436,39
ATTACH_TO,1.0,39,1.0,39
DAMAGE_COUNTER_ANY,0.655367231638418,354,0.6242937853107344,354
DISCARD,0.3333333333333333,42,0.11904761904761904,42
DISCARD_ENERGY,0.9795918367346939,49,0.9795918367346939,49
DRAW_COUNT,1.0,9,1.0,9
EVOLVE,0.8695652173913043,23,0.9130434782608695,23
IS_FIRST,1.0,16,1.0,16
MAIN,0.7193460490463215,1101,0.7366030881017257,1101
SETUP_ACTIVE_POKEMON,1.0,33,1.0,33
SETUP_BENCH_POKEMON,0.5,12,0.5,12
SWITCH,0.9259259259259259,54,0.9074074074074074,54
TO_ACTIVE,0.8490566037735849,53,0.8490566037735849,53
TO_BENCH,0.6756756756756757,37,0.5675675675675675,37
TO_HAND,0.7352185089974294,389,0.7043701799485861,389
