semantic,S1_agreement,S1_n,S2_agreement,S2_n
ability_activation,1.0,14,1.0,14
attack_choice_in_MAIN,0.6910344827586207,725,0.7089655172413794,725
bench_placement,0.6326530612244898,49,0.5510204081632653,49
coin_or_setup_flag,1.0,16,1.0,16
count_choice,1.0,9,1.0,9
dragapult_damage_counter,0.655367231638418,354,0.6242937853107344,354
energy_attachment_target,0.8717948717948718,78,0.8717948717948718,78
evolution_target,0.8695652173913043,23,0.9130434782608695,23
main_board_action,0.773936170212766,376,0.7898936170212766,376
multiselect_discard_resource,0.5333333333333333,60,0.38333333333333336,60
promotion_to_active,0.9069767441860465,86,0.9069767441860465,86
resource_discard_or_move,0.9795918367346939,49,0.9795918367346939,49
retreat_switch,0.9259259259259259,54,0.9074074074074074,54
search_card_target,0.7223719676549866,371,0.6900269541778976,371
