arm,opponent,seat_balanced_score,n
teacher,mega_lucario,0.4227,83
teacher,iono,0.6375,80
teacher,mega_abomasnow,0.5,80
teacher,dragapult,0.55,80
teacher,__control__,1.0,77
R0,mega_lucario,0.3007,77
R0,iono,0.0,80
R0,mega_abomasnow,0.0875,80
R0,dragapult,0.05,80
R0,__control__,0.8044,83
R1,mega_lucario,0.3185,82
R1,iono,0.3875,80
R1,mega_abomasnow,0.2625,80
R1,dragapult,0.1875,80
R1,__control__,0.9355,78
R2,mega_lucario,0.2434,78
R2,iono,0.225,80
R2,mega_abomasnow,0.1125,80
R2,dragapult,0.175,80
R2,__control__,0.8667,82
