games,updates,decisions,return_mean,policy_loss,value_loss,entropy,approx_kl,clip_frac,grad_norm,explained_variance,replay_loss,ref_kl,entropy_coef,replay_coef,kl_coef,rollout_s,update_s,games_per_s
135,1,8340,-0.0638341972455869,-0.01377244737826692,0.08890054496016127,0.6259834848741364,0.0034329983476894766,0.03885523276033387,0.5552899017965247,-0.01926789282028163,0.0,0.0,0.01,0.0,0.0,16.5,19.1,3.8
270,2,8200,-0.11795452567461182,-0.00963296714122197,0.07220725883790653,0.6281839204055926,0.003388851379483686,0.03748276654411765,0.9007415143814255,0.11211029446234921,0.0,0.0,0.009964,0.0,0.0,14.4,14.4,4.67
405,3,8500,-0.18314168208861087,-0.014546834564044948,0.06263428767004357,0.6177288134881875,0.0034076583541224966,0.04055047089858671,0.5466128306411333,0.19686235056667145,0.0,0.0,0.009928000000000001,0.0,0.0,14.7,17.5,4.19
540,4,8771,-0.24971382715129622,-0.01785191814006394,0.05199066355939763,0.6238585260859031,0.0031141877638777102,0.03621378783167496,0.5986913768425051,0.33083514177834006,0.0,0.0,0.009892,0.0,0.0,14.5,17.9,4.16
675,5,8896,-0.29392510861331256,-0.011636441821167864,0.05259193854176192,0.6290521698596547,0.003065044782472515,0.03357385706018519,0.5553781024496612,0.3354962113697715,0.0,0.0,0.009856,0.0,0.0,15.9,16.8,4.13
810,6,9593,-0.27330442602918537,-0.013982446613446428,0.05222152242525335,0.6165780243585299,0.003143572212026987,0.03578931826312299,0.5319958990036305,0.4014848537053147,0.0,0.0,0.00982,0.0,0.0,16.3,19.7,3.75
945,7,8910,-0.36797273894054033,-0.016144523201206844,0.04775830754829599,0.6182469533216253,0.0034338027303024185,0.036877349228020495,0.5661654803919435,0.368196458514656,0.0,0.0,0.009784000000000001,0.0,0.0,16.6,18.1,3.89
1080,8,8426,-0.4122910110921075,-0.014174712087109333,0.045997383272277016,0.641606830935677,0.0031347111855442255,0.03348912181058321,0.5496852520121813,0.4633759182963242,0.0,0.0,0.009748,0.0,0.0,14.5,23.1,3.6
1215,9,8944,-0.357595045940253,-0.013824218016234525,0.04719074169666825,0.6097287119863122,0.0033786379380302913,0.03608036747685185,0.5355398304301799,0.5039549590768915,0.0,0.0,0.009712,0.0,0.0,16.1,17.5,4.02
1350,10,8825,-0.44315173143978986,-0.012116655703385926,0.04601105308336738,0.6206182355481765,0.0032400246620507903,0.03522754175275482,0.5491247865636879,0.4908151401124131,0.0,0.0,0.009676,0.0,0.0,15.5,17.4,4.09
1485,11,9572,-0.3601390268226412,-0.01324196902399054,0.044122143049105875,0.5965153032459777,0.003653162133152305,0.03749428269145476,0.5568787630093035,0.612901858767994,0.0,0.0,0.009640000000000001,0.0,0.0,15.7,19.2,3.86
1620,12,8810,-0.4062740731840001,-0.016074099552378433,0.04288199735583531,0.6009227031724956,0.003221805757000665,0.03464442479035639,0.6506424117969964,0.6205516665134939,0.0,0.0,0.009604,0.0,0.0,15.2,17.8,4.09
1755,13,9376,-0.4253921379095611,-0.011933220237608552,0.046103581668828296,0.5906680001259897,0.003907659429146186,0.04266036184210526,0.5737913727473564,0.5730072212772028,0.0,0.0,0.009568,0.0,0.0,15.5,19.1,3.91
1890,14,9640,-0.38776280214815195,-0.013163775130255262,0.044995574506483706,0.5768354151761493,0.003904282161798544,0.04055692185948362,0.572796141079172,0.5931446467753181,0.0,0.0,0.009532,0.0,0.0,16.0,21.1,3.64
2025,15,9973,-0.36601003412409977,-0.012078641795075205,0.04740766685491145,0.5818592414910123,0.003498492247907401,0.0389990234375,0.5494427174831807,0.5882160246688901,0.0,0.0,0.009496000000000001,0.0,0.0,16.6,19.5,3.74
2160,16,9297,-0.3898630477575095,-0.0142557995504012,0.045504506585805314,0.5753270155456596,0.0032504688902631226,0.03569941926575698,0.631466728525665,0.5357653142090049,0.0,0.0,0.00946,0.0,0.0,15.6,17.9,4.02
2295,17,9375,-0.3358838731248609,-0.015736158875415615,0.05613422435188696,0.5706582286459131,0.0036591178411424273,0.04046527820878848,0.569901751115119,0.501686792645909,0.0,0.0,0.009424,0.0,0.0,15.6,19.7,3.83
2430,18,9119,-0.41363736369168697,-0.012739514515603467,0.04335206245245509,0.5875141741475834,0.0033686768357177556,0.03616235776439089,0.5699969224499686,0.5013514973558117,0.0,0.0,0.009388,0.0,0.0,14.4,18.2,4.14
2565,19,9059,-0.3423932623617093,-0.013740671182905244,0.046650844082628824,0.5668791770404001,0.003996354148162236,0.04401981550762911,0.5911947630269918,0.6005761429407408,0.0,0.0,0.009352000000000001,0.0,0.0,15.5,19.3,3.88
2700,20,8899,-0.3882262570336216,-0.01343694618974677,0.04661316136623374,0.5776706652929242,0.003933956144480597,0.04175541978276353,0.589651399416279,0.5788249202382452,0.0,0.0,0.009316,0.0,0.0,14.5,18.6,4.08
2835,21,8776,-0.358074867215908,-0.012525242692658601,0.04765654009210277,0.563754434950287,0.004238338140739696,0.044195481288580245,0.6150513839620649,0.5714729032720207,0.0,0.0,0.00928,0.0,0.0,15.5,18.4,3.99
2970,22,9155,-0.4159075246894076,-0.014644835933249646,0.04505762234053932,0.5617506271203501,0.0046208723556533755,0.04192349851410446,0.5908079722603142,0.5729543965697176,0.0,0.0,0.009244,0.0,0.0,15.8,22.0,3.57
3105,23,8876,-0.3874621810878134,-0.018301942433447953,0.04129128184400284,0.5610196303717966,0.0039538110326650736,0.041893774224806196,0.6276985411002415,0.6660156218118976,0.0,0.0,0.009208000000000001,0.0,0.0,15.0,15.7,4.39
3240,24,8431,-0.44534685619139003,-0.014708494628197247,0.04454247268704708,0.5686059917927214,0.00418359276596378,0.044395978187300025,0.5843535641510242,0.5926784681062002,0.0,0.0,0.009172,0.0,0.0,14.7,16.2,4.37
3375,25,9172,-0.40054978439047223,-0.014321212228316896,0.04345177632941435,0.5584812567833435,0.00416297099022765,0.044428261143755934,0.58587466113355,0.6667442681754873,0.0,0.0,0.009136,0.0,0.0,15.0,17.3,4.18
3510,26,9274,-0.3582643329753241,-0.012271273376180471,0.048898836919733776,0.5464722553177573,0.003913582936993476,0.040924349194646104,0.675750120935029,0.646753733683292,0.0,0.0,0.0091,0.0,0.0,15.5,18.0,4.03
3645,27,9259,-0.35334352404921027,-0.017130635677753747,0.048384029289725246,0.5670520694195392,0.004357988789339726,0.045545225481946144,0.6951326105582912,0.6445373695396885,0.0,0.0,0.009064000000000001,0.0,0.0,14.6,20.6,3.83
3780,28,9656,-0.38866107092890406,-0.014287664203715198,0.04440962204750651,0.5663429049189114,0.004443994013636849,0.044469572368421056,0.6209657226963687,0.643372896765025,0.0,0.0,0.009028,0.0,0.0,16.6,21.4,3.56
3915,29,9019,-0.38215833851620623,-0.013929414289127097,0.043234970113121975,0.5419597871987324,0.003990360355993964,0.04102303102954145,0.6415774157962191,0.6568828596624667,0.0,0.0,0.008992,0.0,0.0,15.1,17.9,4.1
4050,30,9848,-0.2804589735465987,-0.013224976335049632,0.043808020847855594,0.5417408850817089,0.004897322826301282,0.04770182291666667,0.6607262648453096,0.7156537658567654,0.0,0.0,0.008956,0.0,0.0,15.6,18.7,3.94
4185,31,9354,-0.3660023075302938,-0.013500518652626409,0.045707174837407945,0.5596475793527287,0.004450911400507043,0.043127413472540045,0.6370168822444972,0.6768431495435107,0.0,0.0,0.00892,0.0,0.0,15.9,17.6,4.02
4320,32,9900,-0.2975030878727923,-0.010889994267724959,0.05048652111199627,0.5114868839107759,0.0049788225542291955,0.0432849972747093,0.6008345215165778,0.6476362671870577,0.0,0.0,0.008884,0.0,0.0,15.2,20.7,3.76
4455,33,9667,-0.33849302935748254,-0.014372403420786401,0.04508316971577686,0.5470734590221381,0.0042794678998411585,0.04558406620156961,0.6194490664540897,0.6381118349317842,0.0,0.0,0.008848,0.0,0.0,16.2,23.4,3.4
4590,34,9861,-0.304646867499036,-0.013581668166459674,0.050611726036845425,0.5317604724947514,0.004701711444188437,0.044469939497180457,0.6425154364212385,0.6225811177489444,0.0,0.0,0.008812,0.0,0.0,16.7,19.3,3.75
4725,35,9915,-0.31225224973261057,-0.010573129569710503,0.04759527301555053,0.5144020361778423,0.004203543826292901,0.04204323508522727,0.6432445706405832,0.6542419071135531,0.0,0.0,0.008776,0.0,0.0,16.1,20.3,3.7
4860,36,9672,-0.3022182424259261,-0.014963486781699582,0.0427730582869509,0.5620137912745459,0.004767369711033154,0.04895166060710988,0.6428830606480416,0.725355054732838,0.0,0.0,0.00874,0.0,0.0,16.2,22.7,3.47
4995,37,9569,-0.20277376509311715,-0.014715668923138261,0.0517918223494052,0.5245193448006317,0.004524961630194623,0.04382904812602505,0.640310041927168,0.6815716743929572,0.0,0.0,0.008704,0.0,0.0,15.6,22.2,3.58
5130,38,9284,-0.2841840365650117,-0.011904880653204018,0.04712246625783697,0.5212627912654789,0.004652906598122167,0.04497024961300309,0.6667629385398529,0.7139710574097486,0.0,0.0,0.008668,0.0,0.0,16.2,20.6,3.67
5265,39,9778,-0.26791630599668526,-0.012612681906005927,0.04775342654919966,0.5246760622051095,0.0046127397744136584,0.0424912109375,0.6759551264430855,0.6953538101855643,0.0,0.0,0.008632,0.0,0.0,16.3,20.0,3.72
5400,40,10085,-0.18872092712688185,-0.014962036052387726,0.05091150253211603,0.5223062090224673,0.004734308684880911,0.04606735272233894,0.6137323601916351,0.7047212463036736,0.0,0.0,0.008596,0.0,0.0,16.1,21.7,3.57
5535,41,9640,-0.22572047210875246,-0.014048830489061354,0.048086185124459634,0.5062853092678088,0.005388239346358133,0.045174016261171804,0.6536483827854803,0.6887110534230153,0.0,0.0,0.00856,0.0,0.0,15.4,19.5,3.87
5670,42,10572,-0.17120706779062228,-0.013748179696109485,0.04969571431889259,0.5048039513451328,0.004579201672920433,0.04581607680722891,0.6639840321717172,0.7203749522416603,0.0,0.0,0.008524,0.0,0.0,16.7,22.3,3.46
5805,43,9539,-0.231933380941964,-0.014110019452349609,0.04808695030378241,0.5125877918048259,0.005260364179339881,0.04725563182336647,0.6671886673484448,0.7125617991791929,0.0,0.0,0.008488,0.0,0.0,16.2,17.4,4.01
5940,44,10112,-0.24152682587828544,-0.014875928375446015,0.050705326547522314,0.5153440587421697,0.0056531777716676244,0.05011393229166668,0.6359048306101556,0.6778484062787205,0.0,0.0,0.008452,0.0,0.0,16.7,23.2,3.38
6075,45,8944,-0.24187383329203826,-0.015149485922556485,0.04815074501383459,0.5216703878836023,0.004192223908638439,0.043281611689814814,0.6674100756787866,0.7172739286230558,0.0,0.0,0.008416,0.0,0.0,15.4,16.7,4.22
