arm,seed,games,updates,decisions,return_mean,policy_loss,value_loss,entropy,approx_kl,clip_frac,grad_norm,explained_variance,replay_loss,ref_kl,entropy_coef,replay_coef,kl_coef,rollout_s,update_s,games_per_s
R0,101,297,1,8252,-0.4993687191408041,-0.007563597751295829,0.05806061197343332,1.4954300342877467,0.004594816582669572,0.047202435661764706,0.18467599085883668,0.4122229495553882,0.0,0.0,0.01,0.0,0.0,22.3,13.3,8.36
R0,101,540,2,8333,-0.5807555382501333,-0.006774138199510111,0.034490500194069226,1.4798452934024366,0.004187329792729173,0.0400343772814977,0.1900676720018477,0.617160158895889,0.0,0.0,0.009762400000000001,0.0,0.0,17.9,15.3,7.31
R0,101,756,3,8327,-0.6302875462099203,-0.007569564867281836,0.026300228500286522,1.456827067286402,0.0038363867446687657,0.03968418096405229,0.1990921516130377,0.7531145858740436,0.0,0.0,0.009568,0.0,0.0,16.9,14.7,6.84
R0,101,981,4,8330,-0.6784721336110783,-0.011142020734429652,0.025456058674663547,1.4164874859893357,0.004972665565029393,0.05239844749040921,0.22414745178085446,0.7744823970791923,0.0,0.0,0.0093952,0.0,0.0,16.6,13.4,7.49
R0,101,1197,5,8423,-0.7083432780794019,-0.007949763620398738,0.02606601987756337,1.4052556763656274,0.004193314373371288,0.04780530820282659,0.2678196637654311,0.7508033500800586,0.0,0.0,0.0092152,0.0,0.0,18.3,14.8,6.53
R0,101,1386,6,8271,-0.6545735972063924,-0.01046948828002523,0.030254444364947997,1.3692432227104128,0.0048724437353883905,0.05897223159437826,0.2871049479180088,0.7542393280840967,0.0,0.0,0.0090424,0.0,0.0,16.0,14.4,6.22
R0,101,1593,7,8258,-0.7514885174078578,-0.008556099272329129,0.02078530159027634,1.370835144934505,0.005058449457427176,0.06091591466131908,0.2965629032994852,0.8090669620708953,0.0,0.0,0.0088912,0.0,0.0,16.7,14.3,6.68
R0,101,1782,8,8268,-0.6983506847076838,-0.01199092067680995,0.027014096680319975,1.3553471703078555,0.006535507336257562,0.08327991969814241,0.32559825634783734,0.7716099149688314,0.0,0.0,0.0087256,0.0,0.0,16.0,13.5,6.41
R0,101,1971,9,8429,-0.7223741962334798,-0.01179519977374919,0.024127306142672916,1.3557180986399784,0.006502644547588546,0.08718492588886821,0.30915170300268047,0.7638447266851015,0.0,0.0,0.0085744,0.0,0.0,15.8,14.1,6.32
R0,101,2160,10,8565,-0.6122813510532289,-0.011026775292424275,0.029376878684805947,1.335866600333067,0.006275485669893712,0.08008251421798612,0.3292817763301128,0.7973876834516549,0.0,0.0,0.0084232,0.0,0.0,15.8,15.7,5.99
R0,101,2367,11,8595,-0.6262834791536512,-0.013127009880723711,0.028707664224488273,1.342331431043776,0.006300531730645119,0.08100586650215298,0.3531933650253275,0.817831547120706,0.0,0.0,0.008272,0.0,0.0,16.9,14.9,6.52
R0,101,2556,12,8504,-0.6013134238881748,-0.01433584379676107,0.029417950572836724,1.2969055847234903,0.007691389520704905,0.10332266921191553,0.3978062193848443,0.8370734576672467,0.0,0.0,0.0081064,0.0,0.0,16.9,15.2,5.89
R0,101,2745,13,8270,-0.6896448410229873,-0.013079367672205633,0.022482275698838983,1.3154629462763014,0.008454644794557476,0.10894931891025642,0.43827719132755055,0.8234682189727538,0.0,0.0,0.0079552,0.0,0.0,16.7,13.7,6.23
R0,101,2934,14,8257,-0.6298015554086642,-0.018540522031124055,0.02626705305600648,1.3076188331035647,0.007902910132751587,0.10434724971719457,0.45217670716122127,0.8572132036403403,0.0,0.0,0.007804,0.0,0.0,16.6,14.9,6.01
R0,101,3123,15,8701,-0.6123555354216748,-0.017533219795219004,0.027537488567176967,1.2899466884002926,0.01022568453672099,0.13243431197994915,0.4410515369737619,0.8427261241847466,0.0,0.0,0.0076528,0.0,0.0,16.5,14.5,6.1
R0,101,3303,16,8285,-0.552179933923697,-0.014715155946602146,0.03142076202149304,1.2630599775325202,0.011331457098798308,0.1455010179475016,0.5078761022670997,0.8448976377353576,0.0,0.0,0.007501600000000001,0.0,0.0,16.2,13.4,6.08
R0,101,3483,17,8484,-0.5597002346110095,-0.019834505314513504,0.03374150976798501,1.2500085727520442,0.012727840332138661,0.15400689653001612,0.5029816295450903,0.8234009743744319,0.0,0.0,0.007357600000000001,0.0,0.0,16.2,14.3,5.89
R0,101,3654,18,8337,-0.592480040145876,-0.02228087748685755,0.02650235898477249,1.24998971514546,0.010982264259779904,0.14046653144016227,0.5338267281999455,0.8476268660889188,0.0,0.0,0.007213600000000001,0.0,0.0,15.7,14.3,5.71
R0,101,3834,19,8272,-0.6018893671073946,-0.023212800274697853,0.028823077281577895,1.2511301336254714,0.01418713673883545,0.16693474264705882,0.5673493971448175,0.8388543889675698,0.0,0.0,0.0070768,0.0,0.0,16.2,13.0,6.17
R0,101,4014,20,8671,-0.6011517982218592,-0.02032884794088936,0.03204506351381086,1.2159908328932114,0.01128568850277689,0.14295391507659952,0.515434237327257,0.809861940686164,0.0,0.0,0.006932799999999999,0.0,0.0,15.7,13.4,6.17
R0,101,4194,21,8676,-0.6714440566829195,-0.01870463892106115,0.025042624679392635,1.2233836072076603,0.012132890828254913,0.15414922748541565,0.5611449899454284,0.8533557052294123,0.0,0.0,0.0067888,0.0,0.0,16.8,14.5,5.75
R0,101,4356,22,8544,-0.6420209099401281,-0.02033462692159336,0.02790778169285558,1.2308366643157975,0.013549174058268486,0.16642296122994651,0.5658103697476506,0.8292719087602537,0.0,0.0,0.0066448,0.0,0.0,15.3,14.2,5.48
R0,101,4518,23,8228,-0.65088742866656,-0.02273219349901486,0.027614573996580266,1.1976998344756988,0.01502968370945632,0.1773928972630719,0.6732720094692768,0.8371778638078269,0.0,0.0,0.0065152000000000005,0.0,0.0,15.3,12.4,5.83
R0,101,4698,24,8575,-0.5493135681049222,-0.020150513982543052,0.03147637164482852,1.1876086475623946,0.015614463189073332,0.17834062068038703,0.5910338278522925,0.850165554398286,0.0,0.0,0.0063856,0.0,0.0,16.4,13.3,6.05
R0,101,4878,25,8484,-0.6135901008331149,-0.024093185471523212,0.029100734870368537,1.1952350673762508,0.014866517547041753,0.174092922164585,0.5966461732501572,0.82655232877419,0.0,0.0,0.0062416,0.0,0.0,15.9,13.5,6.12
R0,101,5067,26,8550,-0.6668082921202494,-0.021042444625802858,0.02508591021478451,1.1741634407868058,0.013506161286871021,0.16029841798800526,0.5945689270854491,0.8335024854906985,0.0,0.0,0.0060976,0.0,0.0,16.7,12.7,6.43
R0,202,297,1,8254,-0.04565645637900313,-0.014177707415834798,0.22994119048998962,1.469548390268562,0.004941606031332669,0.05304754210151802,0.29607805280429755,0.3004194874228081,0.0,0.0,0.01,0.0,0.0,21.3,13.5,8.55
R0,202,549,2,8326,-0.12758338626128202,-0.008191711015843466,0.13025660481150275,1.4469577285587412,0.004617456273145779,0.04513493538740123,0.28173178183331277,0.4208493485773579,0.0,0.0,0.009762400000000001,0.0,0.0,19.0,14.5,7.52
R0,202,765,3,8474,-0.2281968238673458,-0.008331390777644766,0.07175049896214317,1.4227704569523525,0.004193202686110549,0.04654357171725073,0.27276455926196524,0.6407385347688765,0.0,0.0,0.0095608,0.0,0.0,17.3,14.8,6.73
R0,202,981,4,8399,-0.29251342840234085,-0.008320030549923557,0.0524787883284218,1.3903619437368224,0.004878925287023813,0.05448158656578573,0.28566024015444014,0.7065887764582204,0.0,0.0,0.009388,0.0,0.0,16.9,16.8,6.4
R0,202,1170,5,8278,-0.3511546270046866,-0.013378999417272055,0.04227908046941622,1.3945920101997409,0.004458612154540612,0.04966307925786594,0.27780877469253573,0.7787849841410721,0.0,0.0,0.0092152,0.0,0.0,15.6,14.9,6.2
R0,202,1377,6,8361,-0.5581830014329877,-0.011278409963286332,0.029682260491287717,1.3915756175201173,0.004460282677153745,0.05314345713322311,0.2999219574842485,0.7938959552944473,0.0,0.0,0.009064000000000001,0.0,0.0,16.2,14.7,6.71
R0,202,1575,7,8494,-0.5630869993224816,-0.011297832403578017,0.030802304767383066,1.3576679037648203,0.004697631346134876,0.05476815105181145,0.2940124241637419,0.7998093295902334,0.0,0.0,0.0088984,0.0,0.0,16.4,14.5,6.41
R0,202,1764,8,8493,-0.6371349851349812,-0.012164004642281156,0.025704562257933397,1.3294484410526357,0.005119374188304985,0.06333256867427203,0.2983459815202387,0.8220001279674234,0.0,0.0,0.00874,0.0,0.0,15.0,12.9,6.76
R0,202,1935,9,8325,-0.6109263122505199,-0.011670547508551012,0.028955920758000506,1.317380389497283,0.0067909357951864095,0.08715917493642193,0.34902271202704366,0.8230450605076974,0.0,0.0,0.0085888,0.0,0.0,14.6,14.7,5.84
R0,202,2115,10,8491,-0.6618746468603005,-0.01541288521237482,0.02981845034582981,1.3215845690867098,0.008113112008048463,0.1114388840559217,0.35502493067947477,0.7876447419877439,0.0,0.0,0.008452,0.0,0.0,16.4,16.1,5.54
R0,202,2295,11,8306,-0.6104797745118398,-0.018112285782682275,0.026012033604581482,1.3062979602382552,0.007514335541872476,0.09798731375773995,0.3995802923971372,0.8626786207336703,0.0,0.0,0.008308,0.0,0.0,15.9,12.9,6.25
R0,202,2475,12,8324,-0.5645480766731484,-0.017743041748801657,0.03142380772525902,1.2962018869896799,0.008314465992405325,0.10524941510695186,0.4070206586010243,0.8371467950827104,0.0,0.0,0.008164,0.0,0.0,15.8,13.9,6.05
