candidate_id,arm,seed,opponent,seat_balanced_score,n,n_seat0,n_seat1,seat0_mean,seat1_mean,ci95_lo,ci95_hi
B0_v2a,B0,,mega_lucario,0.17,100,50,50,0.22,0.12,0.1,0.25
B0_v2a,B0,,iono,0.17,100,50,50,0.22,0.12,0.1,0.25
B0_v2a,B0,,mega_abomasnow,0.12,100,50,50,0.16,0.08,0.06,0.19
B0_v2a,B0,,dragapult,0.15,100,50,50,0.12,0.18,0.08,0.22
R0_202,R0,202,mega_lucario,0.3,100,50,50,0.34,0.26,0.21,0.39
R0_202,R0,202,iono,0.01,100,50,50,0.02,0.0,0.0,0.03
R0_202,R0,202,mega_abomasnow,0.07,100,50,50,0.06,0.08,0.02,0.12
R0_202,R0,202,dragapult,0.02,100,50,50,0.02,0.02,0.0,0.05
R1_101,R1,101,mega_lucario,0.36,100,50,50,0.44,0.28,0.27,0.45
R1_101,R1,101,iono,0.24,100,50,50,0.26,0.22,0.16,0.33
R1_101,R1,101,mega_abomasnow,0.27,100,50,50,0.22,0.32,0.19,0.36
R1_101,R1,101,dragapult,0.15,100,50,50,0.18,0.12,0.09,0.22
R2_101,R2,101,mega_lucario,0.26,100,50,50,0.2,0.32,0.18,0.35
R2_101,R2,101,iono,0.19,100,50,50,0.2,0.18,0.12,0.27
R2_101,R2,101,mega_abomasnow,0.16,100,50,50,0.14,0.18,0.09,0.23
R2_101,R2,101,dragapult,0.13,100,50,50,0.14,0.12,0.07,0.2
R2_303,R2,303,mega_lucario,0.32,100,50,50,0.46,0.18,0.23,0.41
R2_303,R2,303,iono,0.2,100,50,50,0.18,0.22,0.12,0.28
R2_303,R2,303,mega_abomasnow,0.15,100,50,50,0.14,0.16,0.08,0.2202
R2_303,R2,303,dragapult,0.24,100,50,50,0.24,0.24,0.16,0.33
T_teacher,T,,mega_lucario,0.49,100,50,50,0.44,0.54,0.39,0.59
T_teacher,T,,iono,0.68,100,50,50,0.76,0.6,0.59,0.77
T_teacher,T,,mega_abomasnow,0.56,100,50,50,0.54,0.58,0.46,0.66
T_teacher,T,,dragapult,0.55,100,50,50,0.58,0.52,0.45,0.64
