candidate_id,arm,opponent,seat_balanced_score,n,n_seat0,n_seat1,seat0_mean,seat1_mean,ci95_lo,ci95_hi
B0_v2a,B0,dragapult,0.145,400,200,200,0.135,0.155,0.1125,0.18
B0_v2a,B0,mega_lucario,0.24,200,100,100,0.21,0.27,0.18,0.3
B0_v2a,B0,iono,0.245,200,100,100,0.25,0.24,0.185,0.305
B0_v2a,B0,mega_abomasnow,0.205,200,100,100,0.21,0.2,0.15,0.265
I0_incumbent,I0,dragapult,0.1975,400,200,200,0.185,0.21,0.16,0.2375
I0_incumbent,I0,mega_lucario,0.335,200,100,100,0.36,0.31,0.27,0.4
I0_incumbent,I0,iono,0.35,200,100,100,0.36,0.34,0.285,0.42
I0_incumbent,I0,mega_abomasnow,0.2,200,100,100,0.19,0.21,0.145,0.255
A_322_g12110,A,dragapult,0.26,400,200,200,0.26,0.26,0.22,0.305
A_322_g12110,A,mega_lucario,0.32,200,100,100,0.32,0.32,0.255,0.385
A_322_g12110,A,iono,0.24,200,100,100,0.27,0.21,0.18,0.3
A_322_g12110,A,mega_abomasnow,0.24,200,100,100,0.26,0.22,0.18,0.3
B_433_g7524,B,dragapult,0.23,400,200,200,0.25,0.21,0.19,0.2725
B_433_g7524,B,mega_lucario,0.3775,200,100,100,0.435,0.32,0.3125,0.445
B_433_g7524,B,iono,0.385,200,100,100,0.45,0.32,0.32,0.455
B_433_g7524,B,mega_abomasnow,0.265,200,100,100,0.27,0.26,0.205,0.325
C_522_g20220,C,dragapult,0.2825,400,200,200,0.28,0.285,0.2399,0.3275
C_522_g20220,C,mega_lucario,0.39,200,100,100,0.43,0.35,0.32,0.455
C_522_g20220,C,iono,0.35,200,100,100,0.36,0.34,0.285,0.42
C_522_g20220,C,mega_abomasnow,0.255,200,100,100,0.29,0.22,0.2,0.315
