candidate_id,seed,training_games,registered_eval_point,teacher_score,teacher_one_sided_lb95,strategic_field_score,promotion_composite,composite_ci95_lo,composite_ci95_hi,games,defects,invalid,nominated,nomination_reasons
S_611_g5440,611,5440,5000,0.35,0.225,0.3,0.3275,0.23,0.425,100,0,0,True,promotion composite exceeds seed current best screen
S_611_g10320,611,10320,10000,0.25,0.15,0.43333333333333335,0.3325,0.24371875,0.42503125000000014,100,0,0,True,promotion composite exceeds seed current best screen
S_611_g15120,611,15120,15000,0.15000000000000002,0.05,0.23333333333333336,0.18750000000000003,0.11621875000000001,0.26378125000000013,100,0,0,False,
S_611_g20287,611,20287,20000,0.2,0.1,0.3833333333333333,0.28250000000000003,0.20375,0.3725,100,0,0,False,
S_611_g30223,611,30223,30000,0.2,0.1,0.4166666666666667,0.29750000000000004,0.2125,0.38875,100,0,0,False,
S_611_g40127,611,40127,40000,0.225,0.125,0.2833333333333334,0.25125000000000003,0.1675,0.3350312500000001,100,0,0,True,seed's final registered checkpoint
S_622_g5328,622,5328,5000,0.35,0.225,0.26666666666666666,0.3125,0.22246875000000002,0.40875000000000006,100,0,0,True,promotion composite exceeds seed current best screen
S_622_g10096,622,10096,10000,0.3,0.19999999999999998,0.35000000000000003,0.3225,0.23250000000000004,0.41378125000000016,100,0,0,True,promotion composite exceeds seed current best screen
S_622_g15296,622,15296,15000,0.275,0.175,0.4000000000000001,0.33125000000000004,0.24121874999999998,0.4250312500000001,100,0,0,True,promotion composite exceeds seed current best screen
S_622_g20032,622,20032,20000,0.35,0.225,0.25,0.305,0.21375000000000002,0.40003125000000017,100,0,0,False,
S_622_g30319,622,30319,30000,0.375,0.25,0.2833333333333334,0.33375000000000005,0.24000000000000005,0.42625,100,0,0,True,promotion composite exceeds seed current best screen; late checkpoint within 0.03 of seed best screen composite
S_622_g39983,622,39983,,0.225,0.125,0.26666666666666666,0.24375000000000002,0.15875,0.33,100,0,0,True,seed's final registered checkpoint
S_633_g5376,633,5376,5000,0.25,0.125,0.3,0.2725,0.18250000000000002,0.37,100,0,0,True,promotion composite exceeds seed current best screen
S_633_g10224,633,10224,10000,0.25,0.15,0.3166666666666667,0.28,0.18875,0.37,100,0,0,True,promotion composite exceeds seed current best screen
S_633_g15040,633,15040,15000,0.15,0.075,0.4333333333333333,0.27749999999999997,0.19875000000000004,0.36374999999999996,100,0,0,False,
S_633_g20224,633,20224,20000,0.25,0.15,0.2833333333333333,0.265,0.17875000000000002,0.355,100,0,0,False,
S_633_g30176,633,30176,30000,0.35,0.225,0.26666666666666666,0.3125,0.21871875000000002,0.40875000000000006,100,0,0,True,promotion composite exceeds seed current best screen; late checkpoint within 0.03 of seed best screen composite
S_633_g40064,633,40064,40000,0.25,0.15,0.3833333333333333,0.31,0.22371875000000002,0.40125000000000005,100,0,0,True,seed's final registered checkpoint; late checkpoint within 0.03 of seed best screen composite
