candidate_id,opponent,seat_balanced_score,n,n_seat0,n_seat1,seat0_mean,seat1_mean,ci95_lo,ci95_hi
T_teacher,mega_lucario,0.46,200,100,100,0.43,0.49,0.395,0.53
T_teacher,iono,0.66,200,100,100,0.67,0.65,0.595,0.725
T_teacher,mega_abomasnow,0.515,200,100,100,0.51,0.52,0.445,0.58
C_522_g20220,dragapult,0.235,400,200,200,0.24,0.23,0.195,0.2775
C_522_g20220,mega_lucario,0.325,200,100,100,0.3,0.35,0.26,0.39
C_522_g20220,iono,0.435,200,100,100,0.44,0.43,0.37,0.505
C_522_g20220,mega_abomasnow,0.245,200,100,100,0.2,0.29,0.185,0.305
S_611_g40127,dragapult,0.3075,400,200,200,0.295,0.32,0.2625,0.3525
S_611_g40127,mega_lucario,0.395,200,100,100,0.44,0.35,0.33,0.46
S_611_g40127,iono,0.37,200,100,100,0.37,0.37,0.305,0.4351
S_611_g40127,mega_abomasnow,0.275,200,100,100,0.24,0.31,0.215,0.3351
S_622_g39983,dragapult,0.2925,400,200,200,0.32,0.265,0.2499,0.3375
S_622_g39983,mega_lucario,0.41,200,100,100,0.35,0.47,0.345,0.48
S_622_g39983,iono,0.49,200,100,100,0.43,0.55,0.425,0.56
S_622_g39983,mega_abomasnow,0.23,200,100,100,0.27,0.19,0.175,0.285
S_633_g30176,dragapult,0.335,400,200,200,0.325,0.345,0.2875,0.3825
S_633_g30176,mega_lucario,0.4,200,100,100,0.43,0.37,0.33,0.465
S_633_g30176,iono,0.43,200,100,100,0.47,0.39,0.36,0.495
S_633_g30176,mega_abomasnow,0.27,200,100,100,0.25,0.29,0.21,0.335
