candidate_id,opponent,seat_balanced_score,n,n_seat0,n_seat1,seat_effect,ci95_lo,ci95_hi
A_322_g7588,dragapult,0.19,200,100,100,-0.04,0.14,0.245
A_322_g7588,iono,0.32,100,50,50,0.04,0.23,0.41
A_322_g7588,mega_abomasnow,0.27,100,50,50,-0.06,0.18,0.36
A_322_g7588,mega_lucario,0.28,100,50,50,0.04,0.2,0.37
B_422_g5016,dragapult,0.285,200,100,100,0.03,0.225,0.345
B_422_g5016,iono,0.4,100,50,50,-0.04,0.31,0.5
B_422_g5016,mega_abomasnow,0.28,100,50,50,0.04,0.2,0.37
B_422_g5016,mega_lucario,0.335,100,50,50,-0.13,0.245,0.43
B_433_g5016,dragapult,0.215,200,100,100,0.03,0.16,0.27
B_433_g5016,iono,0.37,100,50,50,0.1,0.28,0.47
B_433_g5016,mega_abomasnow,0.2,100,50,50,0.0,0.12,0.28
B_433_g5016,mega_lucario,0.32,100,50,50,0.0,0.23,0.41
C_522_g20220,dragapult,0.25,24,12,12,0.1667,0.0833,0.4167
C_522_g20220,iono,0.4583,24,12,12,-0.0833,0.25,0.6667
C_522_g20220,mega_abomasnow,0.25,24,12,12,-0.1667,0.0833,0.4167
C_522_g20220,mega_lucario,0.4583,24,12,12,0.0833,0.25,0.6667
I0_incumbent,dragapult,0.4167,24,12,12,-0.1667,0.2083,0.625
I0_incumbent,iono,0.2917,24,12,12,0.25,0.125,0.4583
I0_incumbent,mega_abomasnow,0.4583,24,12,12,0.25,0.25,0.6667
I0_incumbent,mega_lucario,0.2917,24,12,12,0.0833,0.125,0.4594
SOUP_611+622,dragapult,0.335,200,100,100,-0.03,0.27,0.4
SOUP_611+622,iono,0.42,100,50,50,-0.12,0.33,0.51
SOUP_611+622,mega_abomasnow,0.23,100,50,50,0.06,0.15,0.31
SOUP_611+622,mega_lucario,0.36,100,50,50,-0.08,0.27,0.45
SOUP_611+622+633,dragapult,0.305,200,100,100,0.01,0.24,0.37
SOUP_611+622+633,iono,0.42,100,50,50,0.16,0.33,0.52
SOUP_611+622+633,mega_abomasnow,0.2,100,50,50,-0.04,0.12,0.28
SOUP_611+622+633,mega_lucario,0.47,100,50,50,0.18,0.37,0.56
SOUP_611+633,dragapult,0.335,200,100,100,0.01,0.2749,0.4
SOUP_611+633,iono,0.38,100,50,50,-0.24,0.29,0.47
SOUP_611+633,mega_abomasnow,0.26,100,50,50,0.0,0.18,0.35
SOUP_611+633,mega_lucario,0.4,100,50,50,0.2,0.3,0.5
SOUP_622+633,dragapult,0.3795,224,112,112,0.0268,0.3125,0.442
SOUP_622+633,iono,0.4516,124,62,62,0.0,0.3629,0.5403
SOUP_622+633,mega_abomasnow,0.2984,124,62,62,-0.1129,0.2177,0.379
SOUP_622+633,mega_lucario,0.3952,124,62,62,-0.1452,0.3065,0.4839
S_611_g15120,dragapult,0.315,200,100,100,0.03,0.25,0.38
S_611_g15120,iono,0.32,100,50,50,-0.04,0.23,0.41
S_611_g15120,mega_abomasnow,0.32,100,50,50,-0.08,0.23,0.42
S_611_g15120,mega_lucario,0.42,100,50,50,-0.04,0.32,0.52
S_611_g20287,dragapult,0.3,200,100,100,-0.02,0.24,0.365
S_611_g20287,iono,0.4,100,50,50,-0.08,0.31,0.5
S_611_g20287,mega_abomasnow,0.2,100,50,50,0.16,0.13,0.28
S_611_g20287,mega_lucario,0.31,100,50,50,0.14,0.22,0.4
S_611_g30223,dragapult,0.31,200,100,100,0.0,0.25,0.375
S_611_g30223,iono,0.36,100,50,50,0.04,0.27,0.46
S_611_g30223,mega_abomasnow,0.2,100,50,50,-0.08,0.12,0.28
S_611_g30223,mega_lucario,0.36,100,50,50,-0.08,0.27,0.46
S_611_g40127,dragapult,0.4167,24,12,12,-0.1667,0.2083,0.625
S_611_g40127,iono,0.5417,24,12,12,-0.0833,0.3333,0.75
S_611_g40127,mega_abomasnow,0.2917,24,12,12,0.0833,0.125,0.5
S_611_g40127,mega_lucario,0.5,24,12,12,-0.3333,0.3333,0.6667
S_622_g20032,dragapult,0.345,200,100,100,0.01,0.28,0.41
S_622_g20032,iono,0.49,100,50,50,-0.02,0.39,0.59
S_622_g20032,mega_abomasnow,0.19,100,50,50,-0.02,0.11,0.27
S_622_g20032,mega_lucario,0.31,100,50,50,0.1,0.22,0.4
S_622_g39983,dragapult,0.3333,24,12,12,-0.1667,0.1667,0.5
S_622_g39983,iono,0.25,24,12,12,0.3333,0.0833,0.4167
S_622_g39983,mega_abomasnow,0.2917,24,12,12,-0.0833,0.125,0.4594
S_622_g39983,mega_lucario,0.2917,24,12,12,-0.25,0.125,0.4583
S_633_g15040,dragapult,0.285,200,100,100,-0.03,0.225,0.35
S_633_g15040,iono,0.31,100,50,50,0.1,0.22,0.4
S_633_g15040,mega_abomasnow,0.18,100,50,50,0.04,0.1,0.26
S_633_g15040,mega_lucario,0.345,100,50,50,-0.11,0.255,0.44
S_633_g20224,dragapult,0.285,200,100,100,-0.03,0.225,0.35
S_633_g20224,iono,0.43,100,50,50,0.02,0.33,0.53
S_633_g20224,mega_abomasnow,0.25,100,50,50,0.02,0.17,0.34
S_633_g20224,mega_lucario,0.36,100,50,50,0.12,0.27,0.46
S_633_g30176,dragapult,0.2723,224,112,112,-0.0625,0.2143,0.3304
S_633_g30176,iono,0.5,124,62,62,-0.0323,0.4113,0.5887
S_633_g30176,mega_abomasnow,0.2419,124,62,62,-0.0323,0.1694,0.3226
S_633_g30176,mega_lucario,0.3548,124,62,62,0.0323,0.2742,0.4435
