candidate_id,opponent,seat_balanced_score,n,ci95_lo,ci95_hi
P1_822_g5120,dragapult,0.335,400,0.29,0.3825
P1_822_g5120,mega_lucario,0.415,200,0.345,0.485
P1_822_g5120,iono,0.355,200,0.29,0.42
P1_822_g5120,mega_abomasnow,0.315,200,0.255,0.38
P1_833_g15232,dragapult,0.315,400,0.27,0.3625
P1_833_g15232,mega_lucario,0.3825,200,0.3175,0.4475
P1_833_g15232,iono,0.43,200,0.36,0.495
P1_833_g15232,mega_abomasnow,0.275,200,0.215,0.34
P0_733_g15056,dragapult,0.3,400,0.255,0.345
P0_733_g15056,mega_lucario,0.385,200,0.32,0.455
P0_733_g15056,iono,0.44,200,0.375,0.51
P0_733_g15056,mega_abomasnow,0.225,200,0.17,0.285
P1_811_g25216,dragapult,0.2875,400,0.2425,0.3325
P1_811_g25216,mega_lucario,0.3625,200,0.2925,0.43
P1_811_g25216,iono,0.45,200,0.38,0.52
P1_811_g25216,mega_abomasnow,0.22,200,0.16,0.28
P0_711_g20144,dragapult,0.38,400,0.33,0.43
P0_711_g20144,mega_lucario,0.3575,200,0.2949,0.425
P0_711_g20144,iono,0.485,200,0.415,0.55
P0_711_g20144,mega_abomasnow,0.22,200,0.165,0.28
T_teacher,mega_lucario,0.555,200,0.485,0.6201
T_teacher,iono,0.595,200,0.53,0.66
T_teacher,mega_abomasnow,0.485,200,0.415,0.555
P0_722_g20048,dragapult,0.31,400,0.265,0.355
P0_722_g20048,mega_lucario,0.445,200,0.375,0.515
P0_722_g20048,iono,0.385,200,0.32,0.455
P0_722_g20048,mega_abomasnow,0.24,200,0.18,0.3
SOUP_622+633,dragapult,0.36,400,0.3125,0.4075
SOUP_622+633,mega_lucario,0.445,200,0.375,0.515
SOUP_622+633,iono,0.455,200,0.385,0.525
SOUP_622+633,mega_abomasnow,0.265,200,0.205,0.325
