rank,deck_type,teams,classified_teams_all_bands,usage_rate,usage_percent,representative_card_id,representative_card_name
1,Alakazam,309,1474,0.20963364993215738,20.96,743,Alakazam
2,Marnie Grimmsnarl,293,1474,0.19877883310719133,19.88,648,Marnie's Grimmsnarl ex
3,Mega Lucario,219,1474,0.1485753052917232,14.86,678,Mega Lucario ex
4,Crustle Wall,150,1474,0.10176390773405698,10.18,345,Crustle
5,Archaludon,142,1474,0.09633649932157395,9.63,190,Archaludon ex
6,Dragapult,94,1474,0.06377204884667571,6.38,121,Dragapult ex
7,Mega Starmie,40,1474,0.027137042062415198,2.71,1031,Mega Starmie ex
8,Cynthia Garchomp,36,1474,0.024423337856173677,2.44,381,Cynthia's Garchomp ex
9,Team Rocket Mewtwo,34,1474,0.023066485753052916,2.31,431,Team Rocket's Mewtwo ex
10,Hop Trevenant,24,1474,0.016282225237449117,1.63,879,Hop's Trevenant
11,Mega Froslass,18,1474,0.012211668928086838,1.22,861,Mega Froslass ex
12,Great Tusk / Crustle,17,1474,0.011533242876526458,1.15,58,Great Tusk
13,Festival Lead,16,1474,0.010854816824966078,1.09,93,Dipplin
14,Iono Bellibolt,13,1474,0.008819538670284939,0.88,269,Iono’s Bellibolt ex
15,Mega Abomasnow,11,1474,0.007462686567164179,0.75,723,Mega Abomasnow ex
16,Mega Kangaskhan,9,1474,0.006105834464043419,0.61,756,Mega Kangaskhan ex
17,Teal Mask Ogerpon,8,1474,0.005427408412483039,0.54,96,Teal Mask Ogerpon ex
18,Ceruledge,5,1474,0.0033921302578018998,0.34,320,Ceruledge ex
19,Mega Lopunny,5,1474,0.0033921302578018998,0.34,849,Mega Lopunny ex
20,Comfey,4,1474,0.0027137042062415195,0.27,164,Comfey
21,Chandelure,3,1474,0.0020352781546811396,0.2,98,Chandelure
22,N's Zoroark,3,1474,0.0020352781546811396,0.2,293,N’s Zoroark ex
23,Team Rocket's Murkrow,3,1474,0.0020352781546811396,0.2,463,Team Rocket's Murkrow
24,Cubchoo,2,1474,0.0013568521031207597,0.14,506,Cubchoo
25,Latias,2,1474,0.0013568521031207597,0.14,184,Latias ex
26,Raging Bolt,2,1474,0.0013568521031207597,0.14,63,Raging Bolt ex
27,Cornerstone Mask Ogerpon,1,1474,0.0006784260515603799,0.07,117,Cornerstone Mask Ogerpon ex
28,Eevee,1,1474,0.0006784260515603799,0.07,317,Eevee
29,Fezandipiti,1,1474,0.0006784260515603799,0.07,140,Fezandipiti ex
30,Flygon,1,1474,0.0006784260515603799,0.07,189,Flygon ex
31,Hydreigon,1,1474,0.0006784260515603799,0.07,229,Hydreigon ex
32,Lillie’s Clefairy,1,1474,0.0006784260515603799,0.07,272,Lillie’s Clefairy ex
33,Mega Gardevoir,1,1474,0.0006784260515603799,0.07,747,Mega Gardevoir ex
34,Mega Sharpedo,1,1474,0.0006784260515603799,0.07,828,Mega Sharpedo ex
35,Mega Zygarde,1,1474,0.0006784260515603799,0.07,1056,Mega Zygarde ex
36,Okidogi,1,1474,0.0006784260515603799,0.07,116,Okidogi
37,Other / Espeon ex,1,1474,0.0006784260515603799,0.07,246,Espeon ex
38,Team Rocket's Honchkrow,1,1474,0.0006784260515603799,0.07,891,Team Rocket's Honchkrow
