score_band,rank,deck_type,teams,classified_teams_in_band,usage_rate,usage_percent,representative_card_id,representative_card_name
1100+,1,Marnie Grimmsnarl,10,17,0.5882352941176471,58.82,648,Marnie's Grimmsnarl ex
1100+,2,Mega Lopunny,2,17,0.11764705882352941,11.76,849,Mega Lopunny ex
1100+,3,Teal Mask Ogerpon,2,17,0.11764705882352941,11.76,96,Teal Mask Ogerpon ex
1100+,4,Crustle Wall,1,17,0.058823529411764705,5.88,345,Crustle
1100+,5,Cynthia Garchomp,1,17,0.058823529411764705,5.88,381,Cynthia's Garchomp ex
1100+,6,Dragapult,1,17,0.058823529411764705,5.88,121,Dragapult ex
1000-1099,1,Marnie Grimmsnarl,58,95,0.6105263157894737,61.05,648,Marnie's Grimmsnarl ex
1000-1099,2,Alakazam,9,95,0.09473684210526316,9.47,743,Alakazam
1000-1099,3,Crustle Wall,9,95,0.09473684210526316,9.47,345,Crustle
1000-1099,4,Festival Lead,6,95,0.06315789473684211,6.32,93,Dipplin
1000-1099,5,Dragapult,4,95,0.042105263157894736,4.21,121,Dragapult ex
1000-1099,6,Cynthia Garchomp,2,95,0.021052631578947368,2.11,381,Cynthia's Garchomp ex
1000-1099,7,Mega Kangaskhan,2,95,0.021052631578947368,2.11,756,Mega Kangaskhan ex
1000-1099,8,Mega Lopunny,2,95,0.021052631578947368,2.11,849,Mega Lopunny ex
1000-1099,9,Team Rocket Mewtwo,2,95,0.021052631578947368,2.11,431,Team Rocket's Mewtwo ex
1000-1099,10,Teal Mask Ogerpon,1,95,0.010526315789473684,1.05,96,Teal Mask Ogerpon ex
900-999,1,Marnie Grimmsnarl,99,228,0.4342105263157895,43.42,648,Marnie's Grimmsnarl ex
900-999,2,Alakazam,54,228,0.23684210526315788,23.68,743,Alakazam
900-999,3,Crustle Wall,23,228,0.10087719298245613,10.09,345,Crustle
900-999,4,Cynthia Garchomp,11,228,0.04824561403508772,4.82,381,Cynthia's Garchomp ex
900-999,5,Mega Lucario,9,228,0.039473684210526314,3.95,678,Mega Lucario ex
900-999,6,Team Rocket Mewtwo,9,228,0.039473684210526314,3.95,431,Team Rocket's Mewtwo ex
900-999,7,Archaludon,4,228,0.017543859649122806,1.75,190,Archaludon ex
900-999,8,Dragapult,4,228,0.017543859649122806,1.75,121,Dragapult ex
900-999,9,Festival Lead,3,228,0.013157894736842105,1.32,93,Dipplin
900-999,10,N's Zoroark,3,228,0.013157894736842105,1.32,293,N’s Zoroark ex
800-899,1,Alakazam,78,283,0.2756183745583039,27.56,743,Alakazam
800-899,2,Marnie Grimmsnarl,67,283,0.23674911660777384,23.67,648,Marnie's Grimmsnarl ex
800-899,3,Archaludon,46,283,0.1625441696113074,16.25,190,Archaludon ex
800-899,4,Crustle Wall,34,283,0.12014134275618374,12.01,345,Crustle
800-899,5,Mega Lucario,11,283,0.038869257950530034,3.89,678,Mega Lucario ex
800-899,6,Dragapult,10,283,0.0353356890459364,3.53,121,Dragapult ex
800-899,7,Cynthia Garchomp,9,283,0.03180212014134275,3.18,381,Cynthia's Garchomp ex
800-899,8,Team Rocket Mewtwo,7,283,0.024734982332155476,2.47,431,Team Rocket's Mewtwo ex
800-899,9,Mega Froslass,4,283,0.014134275618374558,1.41,861,Mega Froslass ex
800-899,10,Iono Bellibolt,3,283,0.01060070671378092,1.06,269,Iono’s Bellibolt ex
700-799,1,Archaludon,80,290,0.27586206896551724,27.59,190,Archaludon ex
700-799,2,Alakazam,76,290,0.2620689655172414,26.21,743,Alakazam
700-799,3,Mega Lucario,46,290,0.15862068965517243,15.86,678,Mega Lucario ex
700-799,4,Marnie Grimmsnarl,20,290,0.06896551724137931,6.9,648,Marnie's Grimmsnarl ex
700-799,5,Crustle Wall,10,290,0.034482758620689655,3.45,345,Crustle
700-799,6,Mega Starmie,9,290,0.03103448275862069,3.1,1031,Mega Starmie ex
