candidate,official_dragapult,official_iono,official_mega_abomasnow,official_mega_lucario,pub_jazivxt_codex_alakazam,pub_jazivxt_rising_tide_v21,pub_makthanithin_lucario_1084,pub_prvsiyan_lucario_v12,pub_raunakdey_heuristic,pub_tetsutani_grimmsnarl,field_off_mirror,field_ladder_weighted,seat0,seat1,completed,errors,p99_ms
pub_jazivxt_rising_tide_v21,0.5250,0.6375,0.8000,0.8750,0.5500,0.6000,0.8625,0.8000,0.5000,0.2250,0.6417,0.4011,0.645,0.63,800,0,802.61
pub_tetsutani_grimmsnarl,0.6750,0.5125,0.4750,0.4875,0.7625,0.7750,0.6125,0.6625,0.7500,0.4375,0.6347,0.6631,0.6075,0.6225,800,0,412.49
pub_jazivxt_codex_alakazam,0.4750,0.7000,0.8500,0.9250,0.5250,0.3375,0.8125,0.8000,0.4750,0.2375,0.6236,0.3925,0.5925,0.635,800,0,805.48
pub_raunakdey_heuristic,0.4750,0.6375,0.8500,0.8625,0.4500,0.5250,0.8250,0.8250,0.5375,0.1625,0.6236,0.3537,0.6025,0.6275,800,0,803.35
pub_makthanithin_lucario_1084,0.6375,0.8500,0.6250,0.7000,0.1500,0.2250,0.5125,0.5062,0.1125,0.4125,0.4688,0.4069,0.495,0.4512,800,0,268.35
official_dragapult,0.4875,0.6375,0.4625,0.5250,0.5375,0.5250,0.3750,0.2750,0.6000,0.2500,0.4653,0.3301,0.4625,0.4725,800,0,232.84
pub_prvsiyan_lucario_v12,0.7375,0.8750,0.5125,0.5443,0.1625,0.2250,0.5625,0.4875,0.1375,0.4000,0.4619,0.4112,0.5013,0.4275,799,1,231.92
official_mega_abomasnow,0.5625,0.2375,0.5375,0.5250,0.1250,0.2000,0.4625,0.4250,0.1875,0.5375,0.3625,0.4626,0.4075,0.3525,800,0,246.83
official_mega_lucario,0.4250,0.7125,0.4125,0.5000,0.1125,0.1625,0.3250,0.4375,0.1625,0.4188,0.3521,0.3745,0.3787,0.355,800,0,227.14
official_iono,0.3000,0.6000,0.6750,0.2500,0.3250,0.3250,0.2125,0.1875,0.4125,0.4000,0.3431,0.3615,0.3475,0.39,800,0,205.29
