candidate,official_dragapult,official_iono,official_mega_abomasnow,official_mega_lucario,pub_aristophanivan_multiply_940,pub_borealis27_1050,pub_jazivxt_codex_alakazam,pub_jazivxt_rising_tide_v21,pub_makthanithin_lucario_1084,pub_masamikobayashi_archaludon,pub_penguin069_915,pub_prvsiyan_crustle_wall,pub_prvsiyan_lopunny_1208,pub_prvsiyan_lucario_v12,pub_prvsiyan_tusk_1208_v24,pub_raunakdey_heuristic,pub_romanrozen_v10_950,pub_ryotasueyoshi_alakazam_5th,pub_soutasakurai_libraryout_1208,pub_tetsutani_grimmsnarl,field_off_mirror,field_ladder_weighted,seat0,seat1,completed,errors,p99_ms
pub_romanrozen_v10_950,0.4500,0.8333,0.8833,0.8833,,,0.4500,0.4500,0.8833,,,0.4333,,0.8667,,0.4833,,,,0.2000,0.6197,0.3908,0.603,0.6364,660,0,803.21
pub_prvsiyan_tusk_1208_v24,0.3333,0.0167,0.3333,0.9500,,,0.6500,0.7000,0.6667,,,0.5667,,0.5500,,0.7000,,,,0.2333,0.5182,0.376,0.5182,0.5182,660,0,226.45
official_dragapult,,0.7500,0.6167,0.6000,,,0.5500,0.6000,0.3167,,,0.5667,,0.3000,,0.5333,,,,0.1333,0.4967,0.2606,0.4533,0.54,600,0,202.01
pub_soutasakurai_libraryout_1208,0.3333,0.0667,0.3667,0.9000,,,0.7000,0.6667,0.5333,,,0.4333,,0.5932,,0.7333,,,,0.1000,0.4933,0.288,0.5,0.4863,659,1,230.82
pub_masamikobayashi_archaludon,0.7167,0.5167,0.7167,0.6500,,,0.1333,0.0500,0.6333,,,0.3000,,0.6833,,0.2167,,,,0.3500,0.4515,0.3938,0.4697,0.4333,660,0,223.88
pub_aristophanivan_multiply_940,0.6667,0.7500,0.6333,0.6000,,,0.0833,0.1667,0.4333,,,0.4333,,0.4333,,0.1833,,,,0.5000,0.4439,0.453,0.4273,0.4606,660,0,449.39
pub_penguin069_915,0.6333,0.8333,0.6167,0.5583,,,0.2167,0.1833,0.3833,,,0.2167,,0.4833,,0.2000,,,,0.3833,0.428,0.388,0.4167,0.4394,660,0,508.99
pub_borealis27_1050,0.6833,0.8333,0.5500,0.6833,,,0.1667,0.1333,0.3083,,,0.1833,,0.5333,,0.1333,,,,0.4167,0.4205,0.3978,0.4409,0.4,660,0,370.88
pub_ryotasueyoshi_alakazam_5th,0.3167,0.3167,0.7667,0.6500,,,0.0333,0.0667,0.5333,,,0.1667,,0.5167,,0.1833,,,,0.2500,0.3455,0.2907,0.3545,0.3364,660,0,230.82
pub_prvsiyan_lopunny_1208,0.5167,0.4083,0.2167,0.1000,,,0.2333,0.1500,0.1167,,,0.2667,,0.0500,,0.1833,,,,0.3833,0.2386,0.3077,0.2545,0.2227,660,0,239.58
official_iono,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,0,0,0.0
official_mega_abomasnow,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,0,0,0.0
official_mega_lucario,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,0,0,0.0
pub_jazivxt_codex_alakazam,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,0,0,0.0
pub_jazivxt_rising_tide_v21,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,0,0,0.0
pub_makthanithin_lucario_1084,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,0,0,0.0
pub_prvsiyan_crustle_wall,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,0,0,0.0
pub_prvsiyan_lucario_v12,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,0,0,0.0
pub_raunakdey_heuristic,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,0,0,0.0
pub_tetsutani_grimmsnarl,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,0,0,0.0
